trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-38,-386.17454726827407,"{0: 33, 1: 5, 2: 10, 3: 5, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.5}",20,-100,-536.274642074928,"{0: 83, 1: 5, 2: 17, 3: 7, 4: 8}",0
3,False,"{'a': 0.5, 'e': 0.3333333333333333}",20,10,-14.55790105306554,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.25}",20,6,-104.7738010724234,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 3}",1
5,False,"{'a': 0.5, 'e': 0.2}",30,-8,-51.92202188943052,"{0: 31, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.16666666666666666}",25,-79,-381.7903126354375,"{0: 82, 1: 0, 2: 11, 3: 2, 4: 9}",0
7,False,"{'a': 0.5, 'e': 0.14285714285714285}",25,-21,-223.9814190694589,"{0: 34, 1: 1, 2: 5, 3: 1, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.125}",25,-20,-79.48391479477633,"{0: 36, 1: 2, 2: 3, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.1111111111111111}",25,15,15.951107851884728,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.1}",25,15,15.118642243545692,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.09090909090909091}",30,-12,75.70574305089124,"{0: 41, 1: 1, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.08333333333333333}",20,-31,-110.19828342683782,"{0: 40, 1: 1, 2: 7, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.07692307692307693}",25,0,-7.008394695539173,"{0: 21, 1: 3, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.07142857142857142}",20,6,26.04654441361001,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.06666666666666667}",20,-7,-6.038169581391315,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.0625}",25,6,-78.1342308492945,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.058823529411764705}",35,4,-0.3912960436409396,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.05555555555555555}",30,-37,-58.497616982922764,"{0: 60, 1: 1, 2: 3, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.05263157894736842}",20,-4,38.94241877896103,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.05}",30,18,5.3423465828409835,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.047619047619047616}",30,-35,53.627307156922924,"{0: 63, 1: 0, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,3,-60.61862148582853,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",20,12,14.803978719111333,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,3,-4.294476304235765,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",30,-7,43.301102334193956,"{0: 36, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,3,-2.222853212483199,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,5,33.38881423653884,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,-4,26.519920422657027,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,4,34.69409474856206,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,-7,8.22851420175479,"{0: 29, 1: 0, 2: 1, 3: 2, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,7,9.874096943239858,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
