trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 100.0}",20,-4,-58.483602381905946,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 1}",0
2,False,"{'a': 0.01, 'e': 50.0}",25,-100,-756.4933531669684,"{0: 68, 1: 12, 2: 30, 3: 5, 4: 10}",0
3,False,"{'a': 0.01, 'e': 33.333333333333336}",25,2,-138.93071107272897,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 3}",1
4,False,"{'a': 0.01, 'e': 25.0}",25,-100,-423.56795348516886,"{0: 82, 1: 10, 2: 25, 3: 4, 4: 4}",0
5,False,"{'a': 0.01, 'e': 20.0}",20,-81,-533.3676238668171,"{0: 56, 1: 13, 2: 18, 3: 10, 4: 4}",0
6,False,"{'a': 0.01, 'e': 16.666666666666668}",20,-100,-595.9384695108027,"{0: 74, 1: 12, 2: 20, 3: 6, 4: 8}",0
7,False,"{'a': 0.01, 'e': 14.285714285714285}",20,-100,-593.1941860722842,"{0: 77, 1: 9, 2: 19, 3: 6, 4: 9}",0
8,False,"{'a': 0.01, 'e': 12.5}",20,11,-28.847467872495038,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
9,False,"{'a': 0.01, 'e': 11.11111111111111}",20,-73,-608.3700533433007,"{0: 51, 1: 9, 2: 21, 3: 3, 4: 9}",0
10,False,"{'a': 0.01, 'e': 10.0}",25,-36,-263.40486917802275,"{0: 41, 1: 2, 2: 10, 3: 5, 4: 3}",0
11,False,"{'a': 0.01, 'e': 9.090909090909092}",25,-42,-364.397953682662,"{0: 41, 1: 6, 2: 12, 3: 3, 4: 5}",0
12,False,"{'a': 0.01, 'e': 8.333333333333334}",20,-100,-674.9694022503262,"{0: 73, 1: 6, 2: 26, 3: 5, 4: 10}",0
13,False,"{'a': 0.01, 'e': 7.692307692307692}",20,5,-50.835335659240435,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
14,False,"{'a': 0.01, 'e': 7.142857142857142}",20,-26,-242.304861085911,"{0: 28, 1: 8, 2: 4, 3: 2, 4: 4}",0
15,False,"{'a': 0.01, 'e': 6.666666666666667}",30,-100,-695.0637480174001,"{0: 72, 1: 13, 2: 28, 3: 11, 4: 6}",0
16,False,"{'a': 0.01, 'e': 6.25}",30,-100,-491.58543809461185,"{0: 82, 1: 15, 2: 24, 3: 3, 4: 6}",0
17,False,"{'a': 0.01, 'e': 5.88235294117647}",25,-36,-371.35335488817856,"{0: 36, 1: 4, 2: 12, 3: 4, 4: 5}",0
18,False,"{'a': 0.01, 'e': 5.555555555555555}",25,-100,-647.5600315963411,"{0: 80, 1: 9, 2: 21, 3: 5, 4: 10}",0
19,False,"{'a': 0.01, 'e': 5.2631578947368425}",30,-25,-335.1141130861819,"{0: 32, 1: 7, 2: 8, 3: 3, 4: 5}",0
20,False,"{'a': 0.01, 'e': 5.0}",30,-100,-491.1321643427645,"{0: 92, 1: 9, 2: 19, 3: 1, 4: 9}",0
21,False,"{'a': 0.01, 'e': 4.761904761904762}",25,1,-126.58360372906105,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 1}",1
22,False,"{'a': 0.01, 'e': 4.545454545454546}",25,-99,-764.8929225621815,"{0: 73, 1: 8, 2: 26, 3: 5, 4: 12}",0
23,False,"{'a': 0.01, 'e': 4.3478260869565215}",25,-90,-647.5437151992016,"{0: 69, 1: 11, 2: 22, 3: 2, 4: 11}",0
24,False,"{'a': 0.01, 'e': 4.166666666666667}",20,-100,-420.176706760539,"{0: 80, 1: 10, 2: 24, 3: 0, 4: 6}",0
25,False,"{'a': 0.01, 'e': 4.0}",20,-100,-640.4690214882604,"{0: 65, 1: 13, 2: 30, 3: 5, 4: 7}",0
26,False,"{'a': 0.01, 'e': 3.846153846153846}",20,-100,-608.9899476619348,"{0: 65, 1: 20, 2: 25, 3: 3, 4: 7}",0
27,False,"{'a': 0.01, 'e': 3.7037037037037033}",30,-100,-788.57420802046,"{0: 82, 1: 9, 2: 21, 3: 3, 4: 15}",0
