trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,14,-96.22614224828284,"{0: 7, 1: 0, 2: 7, 3: 2, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,-20,-135.33300762984584,"{0: 33, 1: 5, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,-79,-691.4857276524974,"{0: 57, 1: 12, 2: 18, 3: 7, 4: 10}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,-82,-614.3990590984557,"{0: 65, 1: 10, 2: 17, 3: 5, 4: 10}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,-81,-620.6665848657487,"{0: 61, 1: 17, 2: 14, 3: 4, 4: 10}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,-39,-189.6055729386697,"{0: 43, 1: 9, 2: 9, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,-68,-425.26188057913026,"{0: 56, 1: 9, 2: 20, 3: 3, 4: 5}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,-1,-102.24977169578167,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,11,-47.77281520185091,"{0: 8, 1: 4, 2: 0, 3: 2, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,-48,-420.98251627323225,"{0: 42, 1: 8, 2: 16, 3: 0, 4: 7}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,-100,-853.364277115072,"{0: 75, 1: 12, 2: 25, 3: 3, 4: 15}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-3,-167.09394829661338,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,-100,-653.0809310764706,"{0: 70, 1: 5, 2: 31, 3: 7, 4: 7}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,-100,-429.7863213941491,"{0: 84, 1: 10, 2: 19, 3: 8, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,-31,-307.50051603631454,"{0: 35, 1: 4, 2: 8, 3: 5, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,11,-48.340526739247196,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,-71,-352.37767504510737,"{0: 62, 1: 8, 2: 14, 3: 1, 4: 6}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,-37,-107.08370386999272,"{0: 47, 1: 6, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,-100,-595.7762112980803,"{0: 84, 1: 8, 2: 18, 3: 5, 4: 10}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,-100,-647.7102253689978,"{0: 73, 1: 10, 2: 29, 3: 5, 4: 8}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-15,-80.97782173305825,"{0: 23, 1: 1, 2: 11, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,-21,-155.6107253752255,"{0: 32, 1: 6, 2: 5, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,-100,-595.4350085298832,"{0: 82, 1: 9, 2: 20, 3: 5, 4: 9}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-100,-456.6460045994817,"{0: 70, 1: 15, 2: 28, 3: 4, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,-15,-118.29843598708827,"{0: 22, 1: 3, 2: 8, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,-27,-272.4456626935824,"{0: 28, 1: 7, 2: 12, 3: 2, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,-36,-150.31644914064287,"{0: 44, 1: 3, 2: 9, 3: 4, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,-50,-325.8640694056115,"{0: 46, 1: 2, 2: 15, 3: 2, 4: 5}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-4,-80.99536307355528,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,-94,-738.6514692245926,"{0: 67, 1: 16, 2: 18, 3: 7, 4: 11}",0
